X,F,Y,R,Err
-30.000000,nan,nan,-0.033333,nan
-29.990000,nan,nan,-0.033344,nan
-29.980000,nan,nan,-0.033356,nan
-29.970000,nan,nan,-0.033367,nan
-29.960000,nan,nan,-0.033378,nan
-29.950000,nan,nan,-0.033389,nan
-29.940000,nan,nan,-0.033400,nan
-29.930000,nan,nan,-0.033411,nan
-29.920000,nan,nan,-0.033422,nan
-29.910000,nan,nan,-0.033434,nan
-29.900000,nan,nan,-0.033445,nan
-29.890000,nan,nan,-0.033456,nan
-29.880000,nan,nan,-0.033467,nan
-29.870000,nan,nan,-0.033478,nan
-29.860000,nan,nan,-0.033490,nan
-29.850000,nan,nan,-0.033501,nan
-29.840000,nan,nan,-0.033512,nan
-29.830000,nan,nan,-0.033523,nan
-29.820000,nan,nan,-0.033535,nan
-29.810000,nan,nan,-0.033546,nan
-29.800000,nan,nan,-0.033557,nan
-29.790000,nan,nan,-0.033568,nan
-29.780000,nan,nan,-0.033580,nan
-29.770000,nan,nan,-0.033591,nan
-29.760000,nan,nan,-0.033602,nan
-29.750000,nan,nan,-0.033613,nan
-29.740000,nan,nan,-0.033625,nan
-29.730000,nan,nan,-0.033636,nan
-29.720000,nan,nan,-0.033647,nan
-29.710000,nan,nan,-0.033659,nan
-29.700000,nan,nan,-0.033670,nan
-29.690000,nan,nan,-0.033681,nan
-29.680000,nan,nan,-0.033693,nan
-29.670000,nan,nan,-0.033704,nan
-29.660000,nan,nan,-0.033715,nan
-29.650000,nan,nan,-0.033727,nan
-29.640000,nan,nan,-0.033738,nan
-29.630000,nan,nan,-0.033750,nan
-29.620000,nan,nan,-0.033761,nan
-29.610000,nan,nan,-0.033772,nan
-29.600000,nan,nan,-0.033784,nan
-29.590000,nan,nan,-0.033795,nan
-29.580000,nan,nan,-0.033807,nan
-29.570000,nan,nan,-0.033818,nan
-29.560000,nan,nan,-0.033829,nan
-29.550000,nan,nan,-0.033841,nan
-29.540000,nan,nan,-0.033852,nan
-29.530000,nan,nan,-0.033864,nan
-29.520000,nan,nan,-0.033875,nan
-29.510000,nan,nan,-0.033887,nan
-29.500000,nan,nan,-0.033898,nan
-29.490000,nan,nan,-0.033910,nan
-29.480000,nan,nan,-0.033921,nan
-29.470000,nan,nan,-0.033933,nan
-29.460000,nan,nan,-0.033944,nan
-29.450000,nan,nan,-0.033956,nan
-29.440000,nan,nan,-0.033967,nan
-29.430000,nan,nan,-0.033979,nan
-29.420000,nan,nan,-0.033990,nan
-29.410000,nan,nan,-0.034002,nan
-29.400000,nan,nan,-0.034014,nan
-29.390000,nan,nan,-0.034025,nan
-29.380000,nan,nan,-0.034037,nan
-29.370000,nan,nan,-0.034048,nan
-29.360000,nan,nan,-0.034060,nan
-29.350000,nan,nan,-0.034072,nan
-29.340000,nan,nan,-0.034083,nan
-29.330000,nan,nan,-0.034095,nan
-29.320000,nan,nan,-0.034106,nan
-29.310000,nan,nan,-0.034118,nan
-29.300000,nan,nan,-0.034130,nan
-29.290000,nan,nan,-0.034141,nan
-29.280000,nan,nan,-0.034153,nan
-29.270000,nan,nan,-0.034165,nan
-29.260000,nan,nan,-0.034176,nan
-29.250000,nan,nan,-0.034188,nan
-29.240000,nan,nan,-0.034200,nan
-29.230000,nan,nan,-0.034211,nan
-29.220000,nan,nan,-0.034223,nan
-29.210000,nan,nan,-0.034235,nan
-29.200000,nan,nan,-0.034247,nan
-29.190000,nan,nan,-0.034258,nan
-29.180000,nan,nan,-0.034270,nan
-29.170000,nan,nan,-0.034282,nan
-29.160000,nan,nan,-0.034294,nan
-29.150000,nan,nan,-0.034305,nan
-29.140000,nan,nan,-0.034317,nan
-29.130000,nan,nan,-0.034329,nan
-29.120000,nan,nan,-0.034341,nan
-29.110000,nan,nan,-0.034352,nan
-29.100000,nan,nan,-0.034364,nan
-29.090000,nan,nan,-0.034376,nan
-29.080000,nan,nan,-0.034388,nan
-29.070000,nan,nan,-0.034400,nan
-29.060000,nan,nan,-0.034412,nan
-29.050000,nan,nan,-0.034423,nan
-29.040000,nan,nan,-0.034435,nan
-29.030000,nan,nan,-0.034447,nan
-29.020000,nan,nan,-0.034459,nan
-29.010000,nan,nan,-0.034471,nan
-29.000000,nan,nan,-0.034483,nan
