t,x,y
0.010000,0.000015,0.003000
0.020000,0.000060,0.005999
0.030000,0.000135,0.008995
0.040000,0.000240,0.011989
0.050000,0.000375,0.014978
0.060000,0.000539,0.017962
0.070000,0.000734,0.020940
0.080000,0.000958,0.023911
0.090000,0.001212,0.026873
0.100000,0.001496,0.029825
0.110000,0.001809,0.032768
0.120000,0.002151,0.035698
0.130000,0.002523,0.038617
0.140000,0.002923,0.041522
0.150000,0.003353,0.044412
0.160000,0.003811,0.047287
0.170000,0.004299,0.050145
0.180000,0.004814,0.052986
0.190000,0.005358,0.055808
0.200000,0.005930,0.058611
0.210000,0.006530,0.061394
0.220000,0.007158,0.064155
0.230000,0.007813,0.066894
0.240000,0.008496,0.069609
0.250000,0.009206,0.072300
0.260000,0.009942,0.074966
0.270000,0.010705,0.077606
0.280000,0.011494,0.080219
0.290000,0.012309,0.082804
0.300000,0.013150,0.085361
0.310000,0.014016,0.087888
0.320000,0.014908,0.090384
0.330000,0.015824,0.092849
0.340000,0.016764,0.095282
0.350000,0.017729,0.097682
0.360000,0.018718,0.100048
0.370000,0.019730,0.102379
0.380000,0.020765,0.104675
0.390000,0.021824,0.106935
0.400000,0.022904,0.109159
0.410000,0.024007,0.111344
0.420000,0.025131,0.113491
0.430000,0.026276,0.115600
0.440000,0.027443,0.117668
0.450000,0.028629,0.119696
0.460000,0.029836,0.121684
0.470000,0.031063,0.123629
0.480000,0.032309,0.125532
0.490000,0.033574,0.127392
0.500000,0.034857,0.129209
0.510000,0.036158,0.130982
0.520000,0.037476,0.132710
0.530000,0.038812,0.134393
0.540000,0.040164,0.136030
0.550000,0.041532,0.137621
0.560000,0.042916,0.139165
0.570000,0.044315,0.140662
0.580000,0.045729,0.142112
0.590000,0.047157,0.143513
0.600000,0.048599,0.144867
0.610000,0.050054,0.146171
0.620000,0.051522,0.147426
0.630000,0.053003,0.148632
0.640000,0.054495,0.149788
0.650000,0.055998,0.150894
0.660000,0.057513,0.151950
0.670000,0.059037,0.152955
0.680000,0.060572,0.153908
0.690000,0.062115,0.154811
0.700000,0.063668,0.155663
0.710000,0.065228,0.156462
0.720000,0.066797,0.157211
0.730000,0.068372,0.157907
0.740000,0.069955,0.158551
0.750000,0.071543,0.159144
0.760000,0.073137,0.159684
0.770000,0.074737,0.160172
0.780000,0.076341,0.160608
0.790000,0.077949,0.160991
0.800000,0.079560,0.161322
0.810000,0.081175,0.161601
0.820000,0.082792,0.161828
0.830000,0.084411,0.162003
0.840000,0.086032,0.162126
0.850000,0.087654,0.162197
0.860000,0.089276,0.162216
0.870000,0.090898,0.162184
0.880000,0.092519,0.162100
0.890000,0.094140,0.161964
0.900000,0.095758,0.161778
0.910000,0.097375,0.161541
0.920000,0.098989,0.161254
0.930000,0.100600,0.160916
0.940000,0.102207,0.160528
0.950000,0.103810,0.160091
0.960000,0.105409,0.159605
0.970000,0.107002,0.159069
0.980000,0.108590,0.158485
0.990000,0.110172,0.157853
1.000000,0.111747,0.157173
1.010000,0.113315,0.156446
1.020000,0.114876,0.155672
1.030000,0.116428,0.154851
1.040000,0.117973,0.153985
1.050000,0.119508,0.153073
1.060000,0.121034,0.152117
1.070000,0.122550,0.151116
1.080000,0.124056,0.150072
1.090000,0.125551,0.148985
1.100000,0.127036,0.147855
1.110000,0.128508,0.146683
1.120000,0.129969,0.145470
1.130000,0.131418,0.144217
1.140000,0.132853,0.142924
1.150000,0.134276,0.141592
1.160000,0.135685,0.140221
1.170000,0.137080,0.138812
1.180000,0.138461,0.137367
1.190000,0.139828,0.135885
1.200000,0.141179,0.134368
1.210000,0.142515,0.132817
1.220000,0.143835,0.131231
1.230000,0.145139,0.129613
1.240000,0.146427,0.127963
1.250000,0.147698,0.126281
1.260000,0.148953,0.124569
1.270000,0.150190,0.122827
1.280000,0.151409,0.121056
1.290000,0.152611,0.119258
1.300000,0.153794,0.117433
1.310000,0.154959,0.115582
1.320000,0.156106,0.113707
1.330000,0.157233,0.111807
1.340000,0.158342,0.109884
1.350000,0.159431,0.107939
1.360000,0.160501,0.105973
1.370000,0.161550,0.103987
1.380000,0.162580,0.101982
1.390000,0.163590,0.099959
1.400000,0.164579,0.097919
1.410000,0.165548,0.095863
1.420000,0.166497,0.093791
1.430000,0.167424,0.091706
1.440000,0.168331,0.089608
1.450000,0.169216,0.087499
1.460000,0.170081,0.085378
1.470000,0.170924,0.083248
1.480000,0.171746,0.081110
1.490000,0.172546,0.078963
1.500000,0.173325,0.076811
1.510000,0.174082,0.074653
1.520000,0.174818,0.072491
1.530000,0.175532,0.070325
1.540000,0.176224,0.068158
1.550000,0.176895,0.065990
1.560000,0.177544,0.063822
1.570000,0.178172,0.061655
1.580000,0.178777,0.059491
1.590000,0.179361,0.057330
1.600000,0.179924,0.055174
1.610000,0.180465,0.053024
1.620000,0.180984,0.050880
1.630000,0.181482,0.048744
1.640000,0.181959,0.046618
1.650000,0.182415,0.044501
1.660000,0.182849,0.042396
1.670000,0.183263,0.040303
1.680000,0.183655,0.038223
1.690000,0.184027,0.036158
1.700000,0.184379,0.034109
1.710000,0.184710,0.032076
1.720000,0.185020,0.030062
1.730000,0.185311,0.028065
1.740000,0.185582,0.026089
1.750000,0.185833,0.024134
1.760000,0.186064,0.022201
1.770000,0.186277,0.020291
1.780000,0.186470,0.018405
1.790000,0.186645,0.016544
1.800000,0.186801,0.014709
1.810000,0.186939,0.012901
1.820000,0.187059,0.011122
1.830000,0.187162,0.009371
1.840000,0.187247,0.007651
1.850000,0.187315,0.005961
1.860000,0.187366,0.004304
1.870000,0.187401,0.002680
1.880000,0.187420,0.001089
1.890000,0.187423,-0.000466
1.900000,0.187411,-0.001986
1.910000,0.187383,-0.003469
1.920000,0.187341,-0.004915
1.930000,0.187285,-0.006322
1.940000,0.187215,-0.007690
1.950000,0.187132,-0.009018
1.960000,0.187035,-0.010305
1.970000,0.186926,-0.011551
1.980000,0.186804,-0.012754
1.990000,0.186671,-0.013913
2.000000,0.186526,-0.015029
2.010000,0.186370,-0.016099
2.020000,0.186204,-0.017124
2.030000,0.186028,-0.018103
2.040000,0.185842,-0.019035
2.050000,0.185647,-0.019919
2.060000,0.185444,-0.020755
2.070000,0.185232,-0.021542
2.080000,0.185013,-0.022280
2.090000,0.184787,-0.022967
2.100000,0.184554,-0.023603
2.110000,0.184315,-0.024189
2.120000,0.184070,-0.024722
2.130000,0.183821,-0.025203
2.140000,0.183567,-0.025630
2.150000,0.183308,-0.026005
2.160000,0.183047,-0.026325
2.170000,0.182782,-0.026591
2.180000,0.182515,-0.026802
2.190000,0.182246,-0.026958
2.200000,0.181976,-0.027059
2.210000,0.181705,-0.027103
2.220000,0.181434,-0.027091
2.230000,0.181164,-0.027022
2.240000,0.180894,-0.026896
2.250000,0.180626,-0.026713
2.260000,0.180360,-0.026473
2.270000,0.180097,-0.026174
2.280000,0.179837,-0.025818
2.290000,0.179580,-0.025403
2.300000,0.179329,-0.024930
2.310000,0.179082,-0.024398
2.320000,0.178841,-0.023807
2.330000,0.178606,-0.023158
2.340000,0.178378,-0.022449
2.350000,0.178157,-0.021682
2.360000,0.177945,-0.020855
2.370000,0.177740,-0.019969
2.380000,0.177545,-0.019024
2.390000,0.177360,-0.018020
2.400000,0.177185,-0.016957
2.410000,0.177021,-0.015835
2.420000,0.176869,-0.014653
2.430000,0.176728,-0.013413
2.440000,0.176601,-0.012114
2.450000,0.176486,-0.010756
2.460000,0.176386,-0.009340
2.470000,0.176300,-0.007865
2.480000,0.176229,-0.006333
2.490000,0.176173,-0.004742
2.500000,0.176134,-0.003094
2.510000,0.176111,-0.001388
2.520000,0.176106,0.000375
2.530000,0.176119,0.002194
2.540000,0.176150,0.004070
2.550000,0.176201,0.006003
2.560000,0.176271,0.007991
2.570000,0.176361,0.010034
2.580000,0.176472,0.012133
2.590000,0.176604,0.014286
2.600000,0.176757,0.016493
2.610000,0.176934,0.018754
2.620000,0.177133,0.021068
2.630000,0.177355,0.023435
2.640000,0.177602,0.025853
2.650000,0.177872,0.028324
2.660000,0.178168,0.030846
2.670000,0.178489,0.033418
2.680000,0.178837,0.036040
2.690000,0.179210,0.038711
2.700000,0.179611,0.041431
2.710000,0.180039,0.044199
2.720000,0.180495,0.047015
2.730000,0.180980,0.049877
2.740000,0.181493,0.052785
2.750000,0.182036,0.055739
2.760000,0.182608,0.058737
2.770000,0.183210,0.061779
2.780000,0.183844,0.064864
2.790000,0.184508,0.067991
2.800000,0.185204,0.071159
2.810000,0.185931,0.074369
2.820000,0.186691,0.077618
2.830000,0.187484,0.080906
2.840000,0.188309,0.084233
2.850000,0.189168,0.087597
2.860000,0.190061,0.090997
2.870000,0.190989,0.094433
2.880000,0.191950,0.097904
2.890000,0.192947,0.101408
2.900000,0.193978,0.104946
2.910000,0.195046,0.108515
2.920000,0.196149,0.112115
2.930000,0.197288,0.115746
2.940000,0.198464,0.119405
2.950000,0.199676,0.123093
2.960000,0.200926,0.126807
2.970000,0.202213,0.130548
2.980000,0.203537,0.134314
2.990000,0.204899,0.138104
3.000000,0.206299,0.141917
3.010000,0.207737,0.145752
3.020000,0.209214,0.149608
3.030000,0.210730,0.153484
3.040000,0.212284,0.157379
3.050000,0.213877,0.161291
3.060000,0.215510,0.165221
3.070000,0.217182,0.169166
3.080000,0.218893,0.173126
3.090000,0.220644,0.177100
3.100000,0.222435,0.181086
3.110000,0.224266,0.185083
3.120000,0.226137,0.189090
3.130000,0.228048,0.193107
3.140000,0.229999,0.197132
3.150000,0.231990,0.201163
3.160000,0.234022,0.205201
3.170000,0.236094,0.209243
3.180000,0.238207,0.213288
3.190000,0.240360,0.217336
3.200000,0.242554,0.221386
3.210000,0.244788,0.225435
3.220000,0.247063,0.229484
3.230000,0.249378,0.233530
3.240000,0.251733,0.237573
3.250000,0.254129,0.241612
3.260000,0.256565,0.245646
3.270000,0.259042,0.249672
3.280000,0.261559,0.253691
3.290000,0.264116,0.257701
3.300000,0.266713,0.261701
3.310000,0.269350,0.265690
3.320000,0.272027,0.269666
3.330000,0.274743,0.273629
3.340000,0.277499,0.277578
3.350000,0.280295,0.281510
3.360000,0.283129,0.285426
3.370000,0.286003,0.289324
3.380000,0.288916,0.293203
3.390000,0.291867,0.297061
3.400000,0.294857,0.300898
3.410000,0.297885,0.304713
3.420000,0.300951,0.308504
3.430000,0.304055,0.312271
3.440000,0.307196,0.316011
3.450000,0.310375,0.319725
3.460000,0.313591,0.323411
3.470000,0.316843,0.327068
3.480000,0.320132,0.330695
3.490000,0.323457,0.334290
3.500000,0.326818,0.337853
3.510000,0.330214,0.341383
3.520000,0.333645,0.344879
3.530000,0.337111,0.348339
3.540000,0.340612,0.351762
3.550000,0.344146,0.355148
3.560000,0.347715,0.358495
3.570000,0.351316,0.361803
3.580000,0.354951,0.365070
3.590000,0.358617,0.368295
3.600000,0.362316,0.371478
3.610000,0.366047,0.374617
3.620000,0.369809,0.377711
3.630000,0.373601,0.380760
3.640000,0.377424,0.383762
3.650000,0.381276,0.386717
3.660000,0.385158,0.389623
3.670000,0.389068,0.392479
3.680000,0.393007,0.395285
3.690000,0.396974,0.398040
3.700000,0.400968,0.400742
3.710000,0.404989,0.403391
3.720000,0.409035,0.405986
3.730000,0.413108,0.408526
3.740000,0.417206,0.411010
3.750000,0.421328,0.413437
3.760000,0.425474,0.415807
3.770000,0.429644,0.418118
3.780000,0.433837,0.420370
3.790000,0.438051,0.422562
3.800000,0.442288,0.424692
3.810000,0.446545,0.426761
3.820000,0.450823,0.428768
3.830000,0.455120,0.430711
3.840000,0.459437,0.432590
3.850000,0.463772,0.434404
3.860000,0.468124,0.436153
3.870000,0.472494,0.437835
3.880000,0.476881,0.439450
3.890000,0.481283,0.440998
3.900000,0.485701,0.442477
3.910000,0.490132,0.443886
3.920000,0.494578,0.445227
3.930000,0.499037,0.446496
3.940000,0.503508,0.447695
3.950000,0.507990,0.448822
3.960000,0.512484,0.449877
3.970000,0.516988,0.450859
3.980000,0.521501,0.451768
3.990000,0.526023,0.452602
4.000000,0.530553,0.453363
4.010000,0.535090,0.454048
4.020000,0.539633,0.454658
4.030000,0.544183,0.455191
4.040000,0.548737,0.455649
4.050000,0.553295,0.456029
4.060000,0.557857,0.456333
